"subjID"	"PRCw"	"PRRw"	"PUCw"	"PURw"
"1"	110	0.761194029850746	0.739130434782609	0.69811320754717	0.814814814814815
"2"	111	1	0.904761904761905	0.775510204081633	0.794117647058823
"3"	114	0.954545454545455	1	0.223880597014925	0.423076923076923
"4"	115	0.659863945578231	0.721311475409836	0.736363636363636	0.833333333333333
"5"	116	0.924050632911392	0.878787878787879	0.729166666666667	0.611111111111111
"6"	117	0.945205479452055	0.571428571428571	0.466666666666667	0.586206896551724
"7"	118	1	1	1	1
"8"	119	0.932432432432432	0.875	0.672413793103448	0.692307692307692
"9"	120	0.984375	0.973684210526316	0.229508196721311	0.117647058823529
"10"	121	0.417910447761194	0.466666666666667	0.60655737704918	0.692307692307692
"11"	122	0.6	0.586206896551724	0.533333333333333	0.619047619047619
"12"	124	0.871428571428571	0.939393939393939	0.872727272727273	0.882352941176471
"13"	126	1	1	0.8	1
"14"	127	0.9	0.774193548387097	0.644067796610169	0.884615384615385
"15"	128	0.984615384615385	1	0.9375	0.96551724137931
"16"	129	0.77027027027027	0.548387096774194	0.706896551724138	0.68
"17"	130	0.988636363636364	1	0.933333333333333	0.947368421052632
"18"	131	1	1	1	0.970588235294118
"19"	132	1	1	0.969230769230769	0.931034482758621
"20"	134	0.848484848484849	0.777777777777778	0.703125	0.758620689655172
"21"	135	0.571428571428571	0.4	0.474576271186441	0.65625
"22"	136	0.725806451612903	0.777777777777778	0.815384615384615	0.68
"23"	137	0.869565217391304	0.966666666666667	0.907407407407407	0.958333333333333
"24"	138	0.985714285714286	0.962962962962963	0.82	0.935483870967742
"25"	139	0.985714285714286	0.756756756756757	0.406779661016949	0.904761904761905
"26"	140	0.315068493150685	0.388888888888889	0.403508771929825	0.333333333333333
"27"	142	1	0.90625	0.96875	1
"28"	143	0.931506849315068	0.793103448275862	0.644067796610169	0.88
"29"	144	0.975609756097561	0.967741935483871	0.230769230769231	0.409090909090909
"30"	145	0.294117647058824	0.166666666666667	0.412698412698413	0.413793103448276
"31"	146	0.971830985915493	0.685714285714286	0.593220338983051	0.681818181818182
